,StartDate,Q2_1,Q2_2,Q2_3,Q2_4,Q3,Q3_4_TEXT,Q22,Q22_7_TEXT,Q4,Q5,Q6,Q6_5_TEXT,Q7,Q9,Q9_7_TEXT,Q20,Q20_5_TEXT,Q10,Q11,Q12,Q12_6_TEXT,Q13,Q13_6_TEXT,Q24_1,Q15
0,Start Date,"Which of the following experiences have you completed, or would like to complete, during your time at UVA (check all that apply)? - 1) Company-sponsored academic project - Hands on skills-based project","Which of the following experiences have you completed, or would like to complete, during your time at UVA (check all that apply)? - 2) Undergraduate Research - Research conducted under the direction of a faculty member","Which of the following experiences have you completed, or would like to complete, during your time at UVA (check all that apply)? - 3) Clinical experience - Pre-health professional experience in a clinical setting","Which of the following experiences have you completed, or would like to complete, during your time at UVA (check all that apply)? - 4) Employment on Grounds - Job with a department at the university",What is your class year? - Selected Choice,What is your class year? - Other: (please describe) - Text,"Before we get some quick feedback from you regarding internships, we want to know how your plans for after graduation are going: - Selected Choice","Before we get some quick feedback from you regarding internships, we want to know how your plans for after graduation are going: - Other - Please describe: - Text",Are you a first generation college student (i.e. your parent(s) does/do not have a four-year degree)?,In which College/School are you enrolled?,What best reflects your status related to internships during your time at UVA (select one)? - Selected Choice,What best reflects your status related to internships during your time at UVA (select one)? - Other - Please describe: - Text,How many internships have you completed?,How did you find your internship (please select all that apply)? - Selected Choice,How did you find your internship (please select all that apply)? - Other - Please describe: - Text,"If you are not currently considering an internship, please indicate the reasons why: - Selected Choice","If you are not currently considering an internship, please indicate the reasons why: - Other - Please describe: - Text",Was/Is your internship paid?,Where did you complete your internship?,Did the internship benefit you in any of the following ways(check all that apply)? - Selected Choice,Did the internship benefit you in any of the following ways(check all that apply)? - Other - Please describe: - Text,Did you face any of the following barriers while seeking internships (check all that apply)? - Selected Choice,Did you face any of the following barriers while seeking internships (check all that apply)? - Other - Please describe: - Text,Text,Career interest after UVA:
1,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_4_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_7_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_5_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_7_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_5_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID18""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_6_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_6_TEXT""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID17_TEXT""}"
9,2024-10-28 06:07:47,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-11-05 11:20:02,,,,,,,,,,,,,,,,,,,,,,,,,
14,2024-11-08 11:47:53,,,,,,,,,,,,,,,,,,,,,,,,,
18,2024-11-11 19:08:24,I have completed:,I would like to complete:,I would like to complete:,,Third Year,,,,Yes,School of Engineering and Applied Science,I have no current plans to seek an internship,,,,,I can't identify a suitable internship focus,,,,,,,,Aerospace Engineering,test
19,2024-11-11 19:09:29,,,,,Fourth Year,,I have been interviewing,,Yes,Batten School of Leadership and Public Policy,I have accepted an offer for an internship I will be completing,,,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,No,,,,Did not have the proper skills,,English,test
20,2024-11-12 08:01:11,I have completed:,I would like to complete:,I would like to complete:,,Third Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,2,"Previous Employment (Internship),Personal Contact /Direct Correspondence - Family & Friends,Personal Contact/Direct Correspondence - Faculty",,,,Yes,In Virginia,"Learned more about the industry,Figured out what I want to do,Figured out what I don't want to do",,Difficult to find opportunities in my field,,Biomedical Engineering,Medicine
21,2024-11-12 08:01:19,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not have the proper skills",,"Global Security and Justice, and German","National Security, Foreign Security, Public Policy"
22,2024-11-12 08:01:18,,I have completed:,,I have completed:,Third Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,Career Services - Handshake,,,,No,,,,I did not face any barriers,,History,Law
23,2024-11-12 08:01:16,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,Yes,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Did not know how to navigate the internship search,Could not consider unpaid internships",,Mechanical Engineering,Bio mechanical engineering 
24,2024-11-12 08:01:17,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,Yes,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I can't identify a suitable internship focus,,,,,,,,Anthropology,Law School
25,2024-11-12 08:01:18,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Could not consider unpaid internships",,Interdisciplinary - Cognitive Science,Unknown
26,2024-11-12 08:01:25,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Electrical Engineering,Engineer
27,2024-11-12 08:01:24,I would like to complete:,I have completed:,I would like to complete:,I have completed:,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,Yes,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I am a Fourth Year and I am focused on my plans for after graduation,,,,,,,,Psychology,Post-bacc job
28,2024-11-12 08:01:27,I have completed:,,,I have completed:,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact/Direct Correspondence - Other,,,,Yes,In Virginia,Learned more about the industry,,I did not face any barriers,,Studio arg,Museum
29,2024-11-12 08:02:00,I would like to complete:,I would like to complete:,,I have completed:,Third Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I need to work and can't afford to take off time for an internship,,,,,,,,History,law
30,2024-11-12 08:02:07,,I have completed:,I have completed:,I have completed:,Third Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,Not relevant to my career path,,,,,,,,Human Biology,Physician
31,2024-11-12 08:01:22,I have completed:,I have completed:,,I have completed:,Fourth Year,,I have been interviewing,,No,College of Arts and Sciences,I have completed an internship,,2,Career Services - Handshake,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do",,"Difficult to find opportunities in my field,Lack of networking connections,Did not have confidence in interviews",,econ and stat,consulting
32,2024-11-12 08:01:24,,I have completed:,I have completed:,I have completed:,Fourth Year,,I am applying to graduate or professional school,,Yes,School of Education and Human Development,I have no current plans to seek an internship,,,,,I am a Fourth Year and I am focused on my plans for after graduation,,,,,,,,Kinesiology,Physician Assistant
33,2024-11-12 08:01:32,I would like to complete:,I have completed:,I have completed:,I have completed:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,Chemistry,Pharmaceuticals
34,2024-11-12 08:01:21,I have completed:,I have completed:,I have completed:,,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,No,School of Engineering and Applied Science,I have completed an internship,,1,Personal Contact /Direct Correspondence - Family & Friends,,,,No,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Mechanical Engineering,Medical Device Industry
35,2024-11-12 08:01:54,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,No,Batten School of Leadership and Public Policy,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,Public Policy and Leadership,Lawyer
36,2024-11-12 08:01:59,,I have completed:,,I have completed:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Did not know how to navigate the internship search",,Economics,Law
37,2024-11-12 08:01:14,I would like to complete:,I would like to complete:,,I have completed:,Fourth Year,,I have put in a lot of applications and I am not getting interviews,,No,School of Architecture,I have completed an internship,,2,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,Outside Virginia,"Developed relevant skills,Figured out what I don't want to do,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have the proper skills",,Urban and Environmental Planning,Infrastructure Consulting
38,2024-11-12 08:01:33,I have completed:,,,I have completed:,Fourth Year,,I have accepted a job,,No,McIntire School of Commerce,I have completed an internship,,1,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,Figured out what I want to do,,Did not know how to navigate the internship search,,Commerce,Consulting
39,2024-11-12 08:01:49,I would like to complete:,I have completed:,,I have completed:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,Behavioral Neuroscience,Research
40,2024-11-12 08:01:58,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Computer Science (BA) in the College of Arts & Sciences,Software Engineer
41,2024-11-12 08:02:03,I would like to complete:,,,,Third Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,Career Services - Handshake,,,,Yes,,,,I did not face any barriers,,Computer Science and Economics,Business
42,2024-11-12 08:01:58,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not have the proper skills,Could not consider unpaid internships",,Statistics and Economics,Data analyst 
43,2024-11-12 08:01:48,I have completed:,I would like to complete:,,I have completed:,Third Year,,,,No,McIntire School of Commerce,I have completed an internship,,1,Career Services - Other,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Made industry connections",,"Did not know how to navigate the internship search,Did not have confidence in interviews",,Commerce,Banking
44,2024-11-12 08:02:15,,,,,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,2,"Career Services - Handshake,Career Services - Career Fair",,,,Yes,Outside Virginia,Developed relevant skills,,I did not face any barriers,,media studies,finance
45,2024-11-12 08:02:01,I would like to complete:,I have completed:,I would like to complete:,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do",,"Lack of networking connections,Did not know how to navigate the internship search",,biology,Medicine 
46,2024-11-12 08:01:28,,,,I would like to complete:,Third Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not have confidence in interviews",,Economics,Financial Services 
47,2024-11-12 08:01:38,I would like to complete:,I have completed:,I would like to complete:,,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Other - Please describe:,IPP program,,,No,Outside Virginia,"Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Chemistry,Medicine
48,2024-11-12 08:02:07,I would like to complete:,,,,Third Year,,,,No,McIntire School of Commerce,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Did not know how to navigate the internship search,Did not have confidence in interviews",,Commerce,Finance
49,2024-11-12 08:01:48,,I have completed:,I would like to complete:,I have completed:,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,2,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,In Virginia,Learned more about the industry,,"Difficult to find opportunities in my field,Could not consider unpaid internships",,Cognitive science ,Medicine
50,2024-11-12 08:01:47,I have completed:,,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,2,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,Media Studies,Undecided
51,2024-11-12 08:01:54,I would like to complete:,I would like to complete:,"I have completed:,I would like to complete:",I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,"Career Services - Handshake,Personal Contact/Direct Correspondence - Faculty",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills",,"Lack of networking connections,Did not have confidence in interviews",,Biology,Doctor
52,2024-11-12 08:01:45,I have completed:,,,,Third Year,,,,No,McIntire School of Commerce,I have completed an internship,,2,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,Commerce,Finance or Real Estate
53,2024-11-12 08:01:49,,I would like to complete:,I would like to complete:,I would like to complete:,Third Year,,,,Yes,College of Arts and Sciences,I have completed an internship,,1,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Made industry connections",,Difficult to find opportunities in my field,,Biology,Genetic Counselor
54,2024-11-12 08:02:12,I would like to complete:,I have completed:,I have completed:,,Third Year,,,,No,School of Education and Human Development,I have no current plans to seek an internship,,,,,Not relevant to my career path,,,,,,,,kinesiology ,med school
55,2024-11-12 08:01:47,I would like to complete:,I have completed:,,I have completed:,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Career Services - Handshake,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Made industry connections",,"Difficult to find opportunities in my field,Could not consider unpaid internships",,Global Commerce,Supply Chain
56,2024-11-12 08:01:53,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Career Services - Handshake,,,,No,Remote/Online,"Learned more about the industry,Figured out what I don't want to do",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Computer Science,Software Development
57,2024-11-12 08:01:55,I have completed:,,,,Fourth Year,,I have accepted a job,,No,McIntire School of Commerce,I have completed an internship,,3+,"Career Services - Handshake,Online Resources - LinkedIn, Indeed, Glassdoor, Other,Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,Could not consider unpaid internships,,finance,Investment banking
58,2024-11-12 08:01:43,I would like to complete:,I have completed:,,I have completed:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,Computer Science (BA) in the College of Arts & Sciences,software engineer
59,2024-11-12 08:01:55,I would like to complete:,I would like to complete:,,I have completed:,Third Year,,,,Yes,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,"Career Services - Handshake,Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,,,,I did not face any barriers,,Computer Science (BA) in the College of Arts & Sciences,Software Engineering 
60,2024-11-12 08:02:20,I have completed:,I have completed:,,I would like to complete:,Third Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,BSCS,Software engineering or AI
61,2024-11-12 08:01:32,I would like to complete:,I have completed:,,I have completed:,Fourth Year,,I have accepted a job,,No,College of Arts and Sciences,I have completed an internship,,1,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Biology,Natural Resources / Research
62,2024-11-12 08:01:43,I would like to complete:,I have completed:,,I have completed:,Third Year,,,,Yes,Batten School of Leadership and Public Policy,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,"Public Policy and Leadership, Spanish","Public Service, pursue a JD to become an attorney"
63,2024-11-12 08:01:28,I would like to complete:,,,,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Computer Science (BA) in the College of Arts & Sciences,Software engineer
64,2024-11-12 08:02:24,,I would like to complete:,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,I did not face any barriers,,History,Unsure
65,2024-11-12 08:02:23,I would like to complete:,,,I have completed:,Third Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections",,Computer Science (BS) in Engineering,Software Engineering
66,2024-11-12 08:02:37,,I have completed:,I have completed:,I have completed:,Third Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,Not relevant to my career path,,,,,,,,Neuroscience,Medicine
67,2024-11-12 08:01:31,,I have completed:,"I have completed:,I would like to complete:",,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Career Services - Handshake,,,,No,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do",,"Difficult to find opportunities in my field,Lack of networking connections",,Psychology and cognitive science ,Clinical psychology 
68,2024-11-12 08:02:12,I have completed:,I would like to complete:,,,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,Yes,College of Arts and Sciences,I have completed an internship,,2,Career Services - Handshake,,,,Yes,In Virginia,"Learned more about the industry,Figured out what I don't want to do",,I did not face any barriers,,Computer Science (BA) in the College of Arts & Sciences,Cybersecurity
69,2024-11-12 08:02:02,I would like to complete:,,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Did not know how to navigate the internship search,Could not consider unpaid internships",,Economics,Not sure
70,2024-11-12 08:02:20,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not have confidence in interviews,Did not have the proper skills",,Computer Science (BA) in the College of Arts & Sciences,Software Development
71,2024-11-12 08:02:34,I would like to complete:,I would like to complete:,I have completed:,I have completed:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have the proper skills",,Global Security and Justice,Law
72,2024-11-12 08:02:12,,,,,Fourth Year,,I am applying to graduate or professional school,,No,College of Arts and Sciences,I have completed an internship,,1,Career Services - Handshake,,,,No,In Virginia,"Learned more about the industry,Developed relevant skills",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Government,Law
73,2024-11-12 08:02:29,I would like to complete:,I have completed:,,I have completed:,Third Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,1,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Made industry connections",,I did not face any barriers,,Chemical Engineering,Undecided
74,2024-11-12 08:02:20,I would like to complete:,,,I would like to complete:,Third Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,Astronomy,Pilot
75,2024-11-12 08:02:40,I would like to complete:,I would like to complete:,,I have completed:,Third Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Computer Science (BS) in Engineering,Data Analytics
76,2024-11-12 08:02:20,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,No,School of Architecture,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Did not know how to navigate the internship search,Did not have confidence in interviews,Could not consider unpaid internships",,Architecture,Architecture
77,2024-11-12 08:01:14,I would like to complete:,I would like to complete:,,"I have completed:,I would like to complete:",Fourth Year,,Other - Please describe:,I've been too busy to focus on applications but I have gotten a few interviews; still looking ,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,"Career Services - Handshake,Career Services - Other",,,,Yes,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Could not consider unpaid internships",,Computer Science and History,Data Analyst or Archivist 
78,2024-11-12 08:02:23,I have completed:,I have completed:,,,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,In Virginia,Learned more about the industry,,I did not face any barriers,,Computer Science,CS
79,2024-11-12 08:02:19,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not have the proper skills",,Computer Science (BS) in Engineering,Software Engineering
80,2024-11-12 08:01:42,I would like to complete:,I would like to complete:,,"I have completed:,I would like to complete:",Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,2,"Career Services - Handshake,Online Resources - LinkedIn, Indeed, Glassdoor, Other,Advertisement - Social Media, Website, Listserv",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Lack of networking connections,Did not know how to navigate the internship search,Could not consider unpaid internships",,Interdisciplinary - Global Studies,Business
81,2024-11-12 08:01:56,I have completed:,I have completed:,,I have completed:,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Career Services - Other,,,,Yes,Remote/Online,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do,Made industry connections",,Could not consider unpaid internships,,Economics,Consulting
82,2024-11-12 08:02:22,,I would like to complete:,,I have completed:,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,"Career Services - Other,Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Made industry connections",,"Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,History,Consulting
83,2024-11-12 08:02:25,I would like to complete:,I would like to complete:,,"I have completed:,I would like to complete:",Third Year,,,,Yes,McIntire School of Commerce,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Difficult to find opportunities in my field,,Commerce,Consulting 
84,2024-11-12 08:02:21,I would like to complete:,I would like to complete:,,,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact/Direct Correspondence - Other,,,,No,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do,Made industry connections",,"Difficult to find opportunities in my field,Did not know how to navigate the internship search",,"Interdisciplinary - Political Philosophy, Policy, and Law",Law School; Law
85,2024-11-12 08:02:27,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Fourth Year,,I have put in a lot of applications and I am not getting interviews,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,Biology,Data
86,2024-11-12 08:01:47,I would like to complete:,,,I would like to complete:,Fourth Year,,I have been interviewing,,No,College of Arts and Sciences,I have completed an internship,,2,"Career Services - Handshake,Advertisement - Social Media, Website, Listserv",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do,Made industry connections",,"Lack of networking connections,Did not know how to navigate the internship search",,Economics,"Entertainment Business, Finance, Sports Media"
87,2024-11-12 08:02:30,I have completed:,,,I have completed:,Third Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,1,Career Services - Handshake,,,,Yes,In Virginia,"Developed relevant skills,Figured out what I don't want to do,Made industry connections",,"Lack of networking connections,Did not know how to navigate the internship search",,Mechanical Engineering,Energy Industry 
88,2024-11-12 08:02:30,,I have completed:,I have completed:,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I'm already involved in too many extracurricular activities,,,,,,,,Biology,Physician
89,2024-11-12 08:02:24,I would like to complete:,I would like to complete:,,,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,2,"Career Services - Handshake,Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"I did not face any barriers,Difficult to find opportunities in my field,Did not know how to navigate the internship search,Did not have confidence in interviews",,Statistics,business development 
90,2024-11-12 08:01:56,,I have completed:,,,Third Year,,,,No,College of Arts and Sciences,I have completed an internship,,2,"Personal Contact /Direct Correspondence - Family & Friends,Personal Contact/Direct Correspondence - Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections,Could not consider unpaid internships",,Foreign Affairs,US Politics / National Security
91,2024-11-12 08:02:08,I have completed:,I have completed:,,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Could not consider unpaid internships",,Global Studies and International Affairs,"Ambassadorship, Department of Justice, general Government"
92,2024-11-12 08:02:44,I would like to complete:,I would like to complete:,,I have completed:,Third Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I can't identify a suitable internship focus,,,,,,,,Media studies & sociology ,acting or law
93,2024-11-12 08:01:55,I would like to complete:,I would like to complete:,,,Third Year,,,,No,McIntire School of Commerce,I have accepted an offer for an internship I will be completing,,,"Career Services - Handshake,Online Resources - LinkedIn, Indeed, Glassdoor, Other,Personal Contact /Direct Correspondence - Family & Friends,Personal Contact/Direct Correspondence - Alumni",,,,Yes,,,,Could not consider unpaid internships,,Finance,Investment Banking
94,2024-11-12 08:01:57,I would like to complete:,I would like to complete:,,,Third Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Computer Science (BA) in the College of Arts & Sciences,"Software Developer, Software Engineering, Data Scientist"
