,avg_unemployment,survey_year,Auth Identifier,Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Total Unique Fairs Attended,total_apps,Educations Cumulative Gpa,ipp_flag,Internship_binary,binary_cont_education,binary_still_looking,fairs_above_avg,apps_above_avg
0,5.4,2021,czk4ja,Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,0,0,4.0,0,1,0,0,0,0
1,5.4,2021,czk4ja,Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,0,0,3.8,0,1,0,0,0,0
2,5.4,2021,chb5jc,Working,0,Engineering - Mechanical & Aerospace Engineering,Male,School of Engineering & Applied Science,1,0,0,3.5,0,0,0,0,0,0
3,5.4,2021,jsb3be,Working,0,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,1,0,0,,0,0,0,0,0,0
4,5.4,2021,tm2xd,Still Looking,1,Public Health,Female,School of Medicine,0,0,0,,0,1,0,1,0,0
5,5.4,2021,rw4wz,Still Looking,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,0,0,0,,0,0,0,1,0,0
6,5.4,2021,rw4wz,Still Looking,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,0,0,0,3.75,0,0,0,1,0,0
7,5.4,2021,xt5st,Still Looking,0,Architecture - Landscape Architecture,Female,School of Architecture,0,0,0,3.34,0,0,0,1,0,0
8,5.4,2021,xt5st,Still Looking,0,Architecture - Landscape Architecture,Female,School of Architecture,0,0,0,3.4,0,0,0,1,0,0
9,5.4,2021,zcm4scz,Working,0,East Asian Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,0,0,3.91,0,0,0,0,0,0
10,5.4,2021,zcm4scz,Working,0,East Asian Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,0,0,,0,0,0,0,0,0
11,5.4,2021,bvd5nq,Working,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,0,0,,0,1,0,0,0,0
12,5.4,2021,yh8zpb,Working,1,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,0,0,3.6,0,1,0,0,0,0
13,5.4,2021,yh8zpb,Working,1,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,0,0,,0,1,0,0,0,0
14,5.4,2021,hg2ky,Working,0,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,0,0,,0,0,0,0,0,0
15,5.4,2021,gcw5qu,Working,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,0,0,3.71,0,0,0,0,0,0
16,5.4,2021,gcw5qu,Working,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,0,0,3.04,0,0,0,0,0,0
17,5.4,2021,jl3fp,Still Looking,0,Data Science,Male,School of Data Science,0,0,0,,0,0,0,1,0,0
18,5.4,2021,phs2av,Still Looking,1,Engineering - Mechanical & Aerospace Engineering,Female,School of Engineering & Applied Science,0,0,0,4.0,0,1,0,1,0,0
19,5.4,2021,phs2av,Still Looking,1,Engineering - Mechanical & Aerospace Engineering,Female,School of Engineering & Applied Science,0,0,0,3.65,0,1,0,1,0,0
20,5.4,2021,ljd6ab,Working,0,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,0,0,,0,0,0,0,0,0
21,5.4,2021,mcp5kq,Still Looking,0,English,Female,College and Graduate School of Arts & Sciences,0,0,0,3.87,0,0,0,1,0,0
