Number of Fairs Attended,Internship Applications,Job Applications,Fellowship Applications,Graduate School,Cooperative Education,Experiential Learning,On Campus Student Employment,Volunteer,First Gen,College_fds_2024,Number of Internships,Career Readiness,Alignment,Q10.4_fds_2024,Q10.5_fds_2024
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,
6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
1,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,
1,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,
24,132.0,6.0,0.0,0.0,0.0,18.0,0.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
7,0.0,8.0,0.0,0.0,0.0,21.0,6.0,0.0,True,School of Architecture,2,8.0,7.0,7.0,8.0
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,,,
1,96.0,68.0,0.0,0.0,0.0,0.0,34.0,0.0,True,School of Architecture,1,6.0,10.0,7.0,7.0
16,,,,,,,,,,,,,,,
2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
1,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,False,,,,,,
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,,,,,,
1,,,,,,,,,,,,,,,
5,0.0,126.0,0.0,0.0,0.0,0.0,3.0,0.0,True,,,,,,
1,,,,,,,,,,,,,,,
4,36.0,0.0,0.0,0.0,0.0,20.0,24.0,0.0,True,,,,,,
4,,,,,,,,,,,,,,,
7,264.0,36.0,0.0,0.0,0.0,0.0,6.0,0.0,False,College and Graduate School of Arts & Sciences,1,3.0,6.0,5.0,4.0
