Q10.1_fds_2024,Number of Internships,How many internships (summer and/or academic year) did you have while attending the University of Virginia?_fds_2021,"If you participated in internships, how many internships did you have while attending the University of Virginia?_fds_2022",Primary Major,Recipient Primary Major_fds_2022,Recipient Primary Majors_fds_2021,First Gen,College_fds_2024,Career Readiness,Q5.4_fds_2024,Alignment,Q10.4_fds_2024,Q10.5_fds_2024,time of IPP,num_fairs,num_appointments,num_events_signed_up,num_events_checked_in,Internship Applications,Job Applications,On Campus Student Employment,Volunteer,Fellowship_application,Graduate School,Cooperative Education,Experiential Learning
,,,,,,Public Policy,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Public Policy,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Public Policy,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Public Policy,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Nursing,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Nursing,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Public Policy,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Public Policy,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Public Policy,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Public Policy,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,,,,,,,,,['Spring 24'],,,,,,,,,,,,
,,,,,,Public Policy,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Public Policy,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Public Policy,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Public Policy,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Public Policy,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,,,,,,,,,['Summer 22'],,,,,,,,,,,,
,,,,,,Public Policy,,,,,,,,,1.0,,,,,,,,,,,
,,,,,Public Policy & Leadership,,False,,,,,,,,1.0,,,,,,,,,,,
,,,,,,,,,,,,,,,1.0,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
,,,2,,Engineering - Computer Science,,False,,,,,,,,1.0,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,1.0,,2.0,1.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,Engineering - Civil Engineering,,,True,,,,,,,,2.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,Foreign Affairs,,False,,,,,,,,1.0,156.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
,,,,,,Engineering - Mechanical Engineering,,,,,,,,,1.0,,1.0,0.0,,,,,,,,
,,,,,,Commerce,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Engineering - Systems Engineering,True,,,,,,,,1.0,,3.0,2.0,,,,,,,,
,,,,,,Commerce,,,,,,,,,1.0,,3.0,1.0,,,,,,,,
,,,,,,,,,,,,,,,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0
,,,,Computer Science - Interdisciplinary,,,False,,,,,,,,1.0,,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,Government,True,,,,,,,,1.0,,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,Engineering - Aerospace Engineering,True,,,,,,,,1.0,100.0,,,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,Commerce,,,False,,,,,,,['AY 20-21'],4.0,126.0,24.0,6.0,66.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0
,,,,,,Foreign Affairs,,,,,,,,,1.0,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,,,,,,,True,School of Architecture,8.0,,7.0,7.0,8.0,,1.0,8.0,7.0,2.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,21.0
,,,,,,Education - Youth & Social Innovation,,,,,,,,,1.0,90.0,,,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,Cognitive Science - Interdisciplinary,,,,,,,,['AY 20-21'],1.0,270.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,Education - Educational Psychology,Government,True,,,,,,,,1.0,,,,,,,,,,,
,,,,,,,False,,,,,,,,1.0,,,,,,,,,,,
,,,,,Cognitive Science - Interdisciplinary,,False,,,,,,,,1.0,,,,,,,,,,,
,0,,,Engineering - Computer Science,,,,,,,,,,,1.0,,,,,,,,,,,
,,,,,,Commerce,,,,,,,,,1.0,26.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,Public Policy & Leadership,,False,,,,,,,,1.0,,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,,,,,,,True,School of Architecture,6.0,,10.0,7.0,7.0,,1.0,,,,48.0,34.0,17.0,0.0,0.0,0.0,0.0,0.0
