FIPS,Jurisdiction,Total Population,American Indian population,Asian population,Black population,Pacific Islander population,Two or more races population,White population,Hispanic population,Average Annual Pay,Percent without HS diploma,Percent with only HS diploma,Percent with some college,Percent with college degree,Number in poverty,Cost of living,Years of Potential Life Lost Rate,Percent Fair or Poor Health,Average Number of Mentally Unhealthy Days,Percent Adults Reporting Currently Smoking,Percent Adults with Obesity,Food Environment Index
51001,Accomack County,33246,1.33,1.11,29.65,0.24,1.83,69.56,9.53,36868.9377809321,18.433349729463846,33.046401049352355,27.172487292998852,21.34776192818495,5326.0,87.9057897894485,11805.171242,20.5,5.1228096518,19.8,40.1,8.7
51003,Albemarle County,113535,0.94,6.98,11.08,0.21,2.83,83.86,5.95,60673.68655497538,6.173962774253925,14.660237080170532,19.035302069252367,60.13049807632318,7465.0,102.439544059668,4986.1008018,11.5,4.778499479,11.1,28.6,9.1
51005,Alleghany County,14986,0.84,0.61,6.05,0.11,1.89,94.33,1.77,35335.365853658535,11.817937460801003,43.41008870172924,29.531403996057705,15.24056984141206,1967.0,89.0498026667069,11573.334789,17.2,5.6681712256,19.3,37.8,7.7
51007,Amelia County,13268,1.33,1.04,20.79,0.11,1.95,78.72,3.82,38415.642458100556,13.61085603509846,45.3321089684726,23.334353637383938,17.722681359044994,1307.0,92.8953431783492,11804.703707,18.1,5.612979533,19.0,39.6,8.6
51009,Amherst County,31273,1.58,1.08,20.7,0.18,2.65,79.29,2.71,38287.781891618986,12.284395860400519,37.901527709332015,27.955736750145604,21.85833968012186,3742.0,88.2962128187159,10010.534178,17.4,5.5262335717,18.2,36.4,8.7
51011,Appomattox County,16353,0.79,0.62,19.57,0.11,2.29,81.25,2.2,30392.39983477902,10.086154381690019,39.66582542859629,30.97206509442172,19.27595509529197,1873.0,87.7102271365956,8066.8245823,17.4,5.3561257384,18.9,39.9,8.8
51013,Arlington County,232965,1.58,13.37,11.54,0.33,3.81,77.5,15.57,103368.18523935981,4.686236454795407,7.298814722395508,11.25493865668538,76.7600101661237,18150.0,125.163469306373,3313.824827,10.0,4.0384830989,7.9,23.9,9.3
51015,Augusta County,77563,0.87,1.04,5.95,0.1,1.86,93.99,3.67,50890.55486140034,10.132035162679928,40.253213322593076,26.358000910587332,23.25675060413967,6314.0,92.3654975546978,7694.878718,15.2,5.4484573753,17.6,36.4,8.5
51017,Bath County,4114,0.66,0.8,4.98,0.0,1.63,95.24,2.46,39102.35358511221,13.957102890892138,36.64905191171899,31.05377681069319,18.34006838669568,449.0,85.0826460779951,,19.9,5.9541463316,21.7,40.7,7.1
51019,Bedford County,80131,0.9,1.78,8.09,0.1,1.8,91.0,2.72,43942.75138803208,7.587049691044596,29.373999552487994,30.48245236578943,32.55649839067798,7042.0,92.3363443163636,7508.7932939,13.9,5.1209554834,15.3,35.7,9.2
51021,Bland County,6173,0.55,0.78,4.65,0.03,1.07,95.09,1.05,72680.32786885246,8.048048048048049,45.46546546546546,30.07007007007007,16.416416416416414,796.0,86.3152495282725,9465.1603755,16.4,5.3430960559,19.2,35.9,8.2
51023,Botetourt County,33866,0.84,1.27,4.05,0.08,1.6,95.41,2.06,48130.51521598372,6.407938612349845,35.129163151339846,30.810333052107186,27.652565184203127,2335.0,95.0670071578498,6831.1611062,13.6,4.8067115375,15.6,32.6,8.4
51025,Brunswick County,15940,0.83,1.32,55.38,0.11,1.59,43.98,2.72,40500.0,23.47919774573181,34.493618431957564,25.98209845847837,16.045085363832257,2955.0,86.0482616776225,10371.180685,22.8,5.4764432866,21.6,44.3,7.9
51027,Buchanan County,19816,0.48,0.63,3.95,0.03,0.79,95.71,0.99,53121.82230052857,25.75590806086112,39.37843962447394,23.930074457753317,10.935577856911621,4502.0,84.234314586213,13005.30401,23.0,6.3377665882,26.1,40.5,6.7
51029,Buckingham County,16947,0.87,0.68,34.92,0.07,2.28,65.76,2.52,39601.97775030902,15.871377530766177,45.327510917030565,26.64549424374752,12.155617308455737,2487.0,87.5716870574339,10026.336535,21.8,5.3157196703,22.6,40.8,8.2
51031,Campbell County,55492,0.9,1.55,16.74,0.15,2.23,82.99,3.14,52377.004415524054,9.51964410676797,34.27971608517445,31.553034089773067,24.647605718284517,6018.0,88.8010966163006,8109.6058433,16.6,5.2523170664,18.2,33.7,8.9
51033,Caroline County,31332,1.84,1.77,28.96,0.3,3.61,70.99,6.25,38855.709507883425,10.645716145228024,40.00743805494863,27.037329738273442,22.309516061549907,3357.0,94.7344650414027,9467.5620219,16.4,4.9294535693,17.0,37.5,9.3
51035,Carroll County,29048,0.95,0.49,1.82,0.07,1.5,98.21,4.3,32230.052284610138,16.984497187542875,38.098504595966524,29.016325970640693,15.900672245849911,4231.0,86.101789658642,9438.1946688,18.2,5.6723465601,20.7,37.1,8.3
51036,Charles City County,6594,8.17,1.41,45.4,0.23,3.61,48.54,2.37,53482.64781491002,15.085478113845577,40.05260191621266,28.668044335900806,16.193875634040957,753.0,92.2415188367176,10378.867494,20.3,5.4705461146,20.0,40.8,9.2
51037,Charlotte County,11448,1.14,0.62,28.5,0.07,2.08,71.79,2.59,34522.01933404941,15.513858229090015,38.042678440029434,29.813588422859944,16.629874908020604,1917.0,85.6650660490486,14007.032414,20.2,5.6605964715,21.2,42.4,6.7
51041,Chesterfield County,370688,1.39,4.75,27.14,0.26,3.02,69.85,10.19,49997.470190410335,7.380624797669149,22.25275169957915,28.045483975396568,42.321139527355136,26947.0,98.4556825056264,7367.918891,13.5,4.6817914971,13.2,35.8,8.9
51043,Clarke County,14881,1.51,2.16,5.91,0.24,2.66,92.97,7.0,45269.17712691771,6.291269258987528,29.475421863536315,29.74137931034483,34.49192956713133,1059.0,97.5130061670305,7294.0420197,12.9,4.8145253512,14.1,33.8,9.4
